metric,final,mean
gini,0.0819,0.2487
gene_moran,0.0000,0.0257
loop_rate,8.5000,18.0785
shannon_H,1.0450,1.1009
field_entropy,0.0774,0.0506
lineage_count,39.0000,56.6262
max_generation,6.0000,5.2430
dominant_ratio,0.0785,0.0684
spatial_variance,3.6292,3.4003
comm_mi,0.0597,0.0604
f_frozen,0.0841,-
f_liquid,0.5981,-
f_chaos,0.0187,-
liquid_longest_run,27,-
time_to_liquid,1,-
H_at_200,0.1200,-
Gini_at_200,0.0000,-
SHARE_at_200,0.9852,-
H_at_600,1.2420,-
Gini_at_600,0.5163,-
SHARE_at_600,0.5939,-
H_at_2000,1.0730,-
Gini_at_2000,0.0848,-
SHARE_at_2000,0.3764,-
omega,4.1646,4.6324
omega_cv,0.1308,-
omega_mean_liquid,4.6875,-
omega_cv_liquid,0.1192,-
H_autocorr_early_500,0.0000,-
H_autocorr_late_500,0.0000,-
H_autocorr_delta_500,0.0000,-
time_to_gini_035,517,-
time_above_gini_035,33,-
gini_peak,0.7849,-
H_overheat_600,0,-
H_peak,1.4100,-
guardian_interventions,0,-
guardian_circuit_breaks,0,-
moon_events,0,-
disaster,0,-
guardian_trigger_frozen,0,-
guardian_trigger_overheat,0,-
guardian_trigger_share_imbalance,0,-
guardian_trigger_gini_warning,0,-
guardian_trigger_gini_danger,0,-
guardian_trigger_gini_meltdown,0,-
guardian_trigger_triple_warning,0,-
guardian_trigger_early_brake,0,-
intervention_help_rate_H,0.0000,-
intervention_help_rate_alive,0.0000,-
post_intervention_phase_flips_200,0,-
moon_epochs,1,-
interventions_per_epoch_p95,0,-
moon_lockouts,0,-
# === FGRL v2.5 ===,,
r_signal,0.1858,0.0077
r_sync,6.3151,18.4901
A_hat_P10,0.9091,0.9091
A_hat_P50,0.9091,0.9091
A_hat_P90,0.9091,0.9785
top1_action_ratio,0.6181,0.6026
ER_ratio,97.2686,98.4843
A_eff,25.3759,28.5379
action_entropy,1.0452,1.1008
msg_success_rate,,
trust_update_rate,,
trust_edge_ratio,,
giant_component_ratio,0.0000,0.0000
D_death_rate,2.0262,1.1685
D_decay_rate,,
D_intervention_rate,,
overlap_sun_moon,,
churn_rate,0.5000,0.5000
phase_mutual_info,,
# === Data Quality ===,,
fgrl_valid_ratio,1.0000,-
fgrl_valid_keys,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|D_death_rate|ER_ratio|action_entropy|churn_rate|giant_component_ratio|r_signal|r_sync|top1_action_ratio,-
fgrl_dirty,D_death_rate_out_of_range,-
omega_cv_unstable,False,-
